--- Execution profile ---
Total samples       : 51403

          ns  percent  samples  top
   148000000    0.29%      148  net.minecraft.world.entity.Entity.applyEffectsFromBlocks
   143000000    0.28%      143  net.minecraft.world.level.pathfinder.PathFinder.findPath
   140000000    0.27%      140  ca.spottedleaf.moonrise.common.misc.NearbyPlayers.getPlayers
   139000000    0.27%      139  ca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray.getVisible
   138000000    0.27%      138  G1CardSet::add_card
   138000000    0.27%      138  net.minecraft.world.entity.ai.behavior.ShufflingList$$Lambda.0x00007f6051a59728.apply
   137000000    0.27%      137  net.minecraft.world.entity.ai.goal.GoalSelector.tickRunningGoals
   136000000    0.26%      136  java.util.Arrays.copyOf
   136000000    0.26%      136  java.util.HashMap$HashIterator.<init>
   135000000    0.26%      135  G1ParScanThreadState::trim_queue_to_threshold
   133000000    0.26%      133  com.google.common.collect.RegularImmutableMap.get
   128000000    0.25%      128  net.minecraft.world.level.chunk.ChunkAccess.getHeight
   126000000    0.25%      126  java.util.Arrays.fill
   115000000    0.22%      115  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeWithinMobBB
   115000000    0.22%      115  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.getChunkHolder
   114000000    0.22%      114  net.minecraft.world.level.chunk.LevelChunk.getBlockState
   113000000    0.22%      113  net.minecraft.world.level.NaturalSpawner.spawnForChunk
   113000000    0.22%      113  net.minecraft.world.level.PathNavigationRegion.getChunk
   112000000    0.22%      112  net.minecraft.core.BlockPos.asLong
   112000000    0.22%      112  net.minecraft.world.level.chunk.LevelChunkSection.getNoiseBiome
   111000000    0.22%      111  net.minecraft.util.Mth.sqrt
   110000000    0.21%      110  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.insert
   109000000    0.21%      109  net.minecraft.core.SectionPos.blockToSectionCoord
   109000000    0.21%      109  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeStatic
   108000000    0.21%      108  net.minecraft.world.entity.Entity.getOnPos
   107000000    0.21%      107  java.lang.invoke.VarHandleReferences$FieldInstanceReadOnly.getVolatile
   105000000    0.20%      105  ca.spottedleaf.moonrise.common.list.ReferenceList.getRawDataUnchecked
   105000000    0.20%      105  net.minecraft.world.entity.LivingEntity.tickEffects
   103000000    0.20%      103  java.util.HashSet.iterator
    98000000    0.19%       98  pthread_cond_signal
    98000000    0.19%       98  java.lang.ThreadLocal$ThreadLocalMap.getEntry
    97000000    0.19%       97  net.minecraft.world.entity.Entity.setDeltaMovement
    97000000    0.19%       97  net.minecraft.world.entity.LivingEntity.getHealth
    97000000    0.19%       97  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet.iterator
    96000000    0.19%       96  net.minecraft.world.level.levelgen.BitRandomSource.nextInt
    96000000    0.19%       96  java.util.TreeMap.successor
    96000000    0.19%       96  net.minecraft.world.entity.ai.attributes.AttributeMap.getValue
    95000000    0.18%       95  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.isDiagonalValid
    89000000    0.17%       89  net.minecraft.world.entity.ai.behavior.Behavior.getStatus
    85000000    0.17%       85  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getCollisionShape
    84000000    0.16%       84  G1CMTask::do_marking_step
    84000000    0.16%       84  net.minecraft.world.level.NaturalSpawner.createState
    82000000    0.16%       82  net.minecraft.world.level.pathfinder.PathType.getMalus
    82000000    0.16%       82  getrusage
    81000000    0.16%       81  net.minecraft.world.entity.Entity.level
    81000000    0.16%       81  net.minecraft.world.level.PathNavigationRegion.getBlockStateIfLoaded
    80000000    0.16%       80  it.unimi.dsi.fastutil.longs.Long2ReferenceOpenHashMap.get
    78000000    0.15%       78  vframeStreamForte::forte_next
    77000000    0.15%       77  java.lang.Enum.ordinal
    76000000    0.15%       76  net.minecraft.world.entity.ai.behavior.GateBehavior.getStatus
    75000000    0.15%       75  net.minecraft.world.level.EntityGetter.getNearestPlayer
    74000000    0.14%       74  net.minecraft.world.phys.AABB.<init>
    74000000    0.14%       74  net.minecraft.world.level.biome.BiomeManager.getBiome
    72000000    0.14%       72  ca.spottedleaf.moonrise.common.misc.NearbyPlayers$TrackedChunk.getPlayers
    71000000    0.14%       71  net.minecraft.world.entity.LivingEntity.isAlive
    68000000    0.13%       68  net.minecraft.core.Vec3i.getX
    67000000    0.13%       67  net.minecraft.world.entity.Entity.distanceToSqr
    67000000    0.13%       67  oopDesc::size_given_klass
    66000000    0.13%       66  net.minecraft.world.level.chunk.ChunkAccess.getNoiseBiome
    66000000    0.13%       66  net.minecraft.world.entity.Entity.move
    66000000    0.13%       66  net.minecraft.world.level.PotentialCalculator.<init>
    65000000    0.13%       65  PhaseChaitin::Split
    65000000    0.13%       65  net.minecraft.world.level.entity.EntityTickList.forEach
    65000000    0.13%       65  ca.spottedleaf.moonrise.patches.starlight.light.StarLightInterface.getSkyLightValue
    64000000    0.12%       64  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.computeIfAbsent
    64000000    0.12%       64  net.minecraft.world.entity.ai.behavior.Behavior.tryStart
    64000000    0.12%       64  net.minecraft.world.level.pathfinder.BinaryHeap.upHeap
    64000000    0.12%       64  IndexSetIterator::advance_and_next
    64000000    0.12%       64  net.minecraft.world.entity.ai.behavior.GateBehavior.tickOrStop
    63000000    0.12%       63  net.minecraft.world.level.chunk.LevelChunk.getListenerRegistry
    62000000    0.12%       62  unsigned long BitMap::find_first_bit_impl<0ul, false>
    62000000    0.12%       62  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.NewChunkHolder$ChunkCompletion.chunk
    61000000    0.12%       61  net.minecraft.world.entity.ai.behavior.OneShot.getStatus
    60000000    0.12%       60  net.minecraft.world.level.pathfinder.PathTypeCache.index
    60000000    0.12%       60  net.minecraft.server.level.ServerEntity.sendDirtyEntityData
    59000000    0.11%       59  net.minecraft.world.entity.Entity.getBoundingBox
    59000000    0.11%       59  InstanceKlass::jmethod_id_or_null
    59000000    0.11%       59  java.util.HashMap.putVal
    58000000    0.11%       58  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap.put
    58000000    0.11%       58  net.minecraft.world.level.pathfinder.Node.distanceTo
    58000000    0.11%       58  net.minecraft.core.Vec3i.distToCenterSqr
    57000000    0.11%       57  java.util.ArrayList$Itr.next
    57000000    0.11%       57  net.minecraft.world.level.biome.BiomeManager.getFiddledDistance
    57000000    0.11%       57  PhaseChaitin::gather_lrg_masks
    56000000    0.11%       56  net.minecraft.world.entity.ai.Brain.tickSensors
    56000000    0.11%       56  net.minecraft.world.entity.Entity.moonrise$getTrackedEntity
    56000000    0.11%       56  net.minecraft.world.entity.LivingEntity.getItemBySlot
    54000000    0.11%       54  java.util.ArrayDeque.size
    54000000    0.11%       54  net.minecraft.world.entity.ai.behavior.declarative.BehaviorBuilder$1.trigger
    53000000    0.10%       53  net.minecraft.server.level.ServerChunkCache.tickChunks
    53000000    0.10%       53  net.minecraft.core.Vec3i.getY
    53000000    0.10%       53  net.minecraft.server.level.ServerChunkCache.getFullChunk
    52000000    0.10%       52  ca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray.isNullNibbleVisible
    52000000    0.10%       52  net.minecraft.world.phys.shapes.VoxelShape.moonrise$initCache
    52000000    0.10%       52  net.minecraft.world.entity.Mob.serverAiStep
    52000000    0.10%       52  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap.clear
    52000000    0.10%       52  com.google.common.collect.TransformedIterator.hasNext
    52000000    0.10%       52  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.NewChunkHolder.getChunkIfPresentUnchecked
    51000000    0.10%       51  net.minecraft.world.entity.ai.attributes.AttributeSupplier.getAttributeInstance
    51000000    0.10%       51  ca.spottedleaf.moonrise.patches.blockstate_propertyaccess.util.ZeroCollidingReferenceStateTable.get
    50000000    0.10%       50  net.minecraft.core.Cursor3D.advance
    50000000    0.10%       50  java.lang.String.hashCode
    50000000    0.10%       50  java.util.EnumMap.isValidKey
    50000000    0.10%       50  net.minecraft.core.Cursor3D.getNextType
    49000000    0.10%       49  net.minecraft.server.level.ChunkMap$TrackedEntity.moonrise$tick
    49000000    0.10%       49  ca.spottedleaf.moonrise.common.util.TickThread.isTickThread
    48000000    0.09%       48  net.minecraft.world.level.chunk.ChunkAccess.getMinY
    48000000    0.09%       48  net.minecraft.world.level.PathNavigationRegion.getFluidState
    47000000    0.09%       47  net.minecraft.core.Holder$Reference.boundTags
    47000000    0.09%       47  java.util.concurrent.ConcurrentHashMap.get
    47000000    0.09%       47  CodeHeap::find_blob
    47000000    0.09%       47  syscall
    46000000    0.09%       46  net.minecraft.world.entity.Mob.getPathfindingMalus
    46000000    0.09%       46  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getBlockedNode
    46000000    0.09%       46  PhaseChaitin::elide_copy
    45000000    0.09%       45  java.lang.ref.Reference.refersToImpl
    45000000    0.09%       45  net.minecraft.server.level.ServerLevel.moonrise$getChunkTaskScheduler
    44000000    0.09%       44  it.unimi.dsi.fastutil.objects.Object2BooleanOpenHashMap.find
    44000000    0.09%       44  net.minecraft.world.entity.LivingEntity.collectEquipmentChanges
    44000000    0.09%       44  net.minecraft.world.level.block.state.BlockBehaviour.isPathfindable
    43000000    0.08%       43  G1CMTask::drain_global_stack
    43000000    0.08%       43  PhaseIdealLoop::build_loop_late
    43000000    0.08%       43  net.minecraft.world.entity.LivingEntity.tick
    43000000    0.08%       43  net.minecraft.world.level.block.state.BlockBehaviour.getCollisionShape
    43000000    0.08%       43  forte_fill_call_trace_given_top
    43000000    0.08%       43  net.minecraft.world.level.block.SpreadingSnowyDirtBlock.randomTick
    43000000    0.08%       43  ca.spottedleaf.concurrentutil.util.HashUtil.mix
    43000000    0.08%       43  net.minecraft.world.entity.Entity.lambda$checkInsideBlocks$2
    42000000    0.08%       42  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathType
    42000000    0.08%       42  net.minecraft.server.level.ServerChunkCache.runDistanceManagerUpdates
    42000000    0.08%       42  net.minecraft.world.level.pathfinder.Path.isDone
    42000000    0.08%       42  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup$ChunkSlicesRegion.get
    42000000    0.08%       42  net.minecraft.server.level.ChunkMap.getMobCountNear
    41000000    0.08%       41  it.unimi.dsi.fastutil.longs.LongOpenHashSet.rehash
    41000000    0.08%       41  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.insert
    40000000    0.08%       40  net.minecraft.server.level.ServerLevel.getChunkSource
    40000000    0.08%       40  net.minecraft.core.Vec3i.<init>
    40000000    0.08%       40  net.minecraft.world.phys.shapes.Shapes.create
    40000000    0.08%       40  java.lang.System$2.getEnumConstantsShared
    40000000    0.08%       40  it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap.containsKey
    40000000    0.08%       40  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup.getHardCollidingEntities
    39000000    0.08%       39  GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
    39000000    0.08%       39  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getCachedPathType
    39000000    0.08%       39  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
    39000000    0.08%       39  net.minecraft.world.entity.Entity.updateInWaterStateAndDoFluidPushing
    39000000    0.08%       39  net.minecraft.core.Vec3i.getZ
    39000000    0.08%       39  net.minecraft.world.level.ChunkPos.asLong
    39000000    0.08%       39  ca.spottedleaf.moonrise.patches.chunk_system.level.poi.PoiChunk.isLoaded
    38000000    0.07%       38  com.google.common.collect.Iterators$ArrayItr.get
    38000000    0.07%       38  net.minecraft.world.level.pathfinder.WalkNodeEvaluator$$Lambda.0x00007f6051a61978.get
    37000000    0.07%       37  net.minecraft.world.level.Level.getNoiseBiome
    37000000    0.07%       37  net.minecraft.world.entity.Entity.checkInsideBlocks
    37000000    0.07%       37  ca.spottedleaf.moonrise.patches.collisions.shape.CachedShapeData.maxFullY
    37000000    0.07%       37  net.minecraft.world.phys.AABB.equals
    36000000    0.07%       36  it.unimi.dsi.fastutil.longs.LongOpenHashSet.contains
    36000000    0.07%       36  it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap.getOrDefault
    36000000    0.07%       36  java.util.TreeMap.getFirstEntry
    36000000    0.07%       36  net.minecraft.world.entity.Entity.setOldPos
    36000000    0.07%       36  net.minecraft.world.entity.ai.behavior.Behavior.hasRequiredMemories
    35000000    0.07%       35  net.minecraft.server.MinecraftServer.tickMidTickTasks
    35000000    0.07%       35  PhaseLive::compute
    35000000    0.07%       35  java.util.ArrayList.grow
    35000000    0.07%       35  net.minecraft.world.level.LevelHeightAccessor.getSectionIndexFromSectionY
    35000000    0.07%       35  ClassLoaderData::oops_do
    35000000    0.07%       35  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.processTicketUpdates
    34000000    0.07%       34  io.netty.util.Recycler$LocalPool.accept
    34000000    0.07%       34  PhaseChaitin::interfere_with_live
    34000000    0.07%       34  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeOfMob
    34000000    0.07%       34  net.minecraft.world.level.pathfinder.PathTypeCache.getOrCompute
    34000000    0.07%       34  void OopOopIterateBoundedDispatch<G1CMOopClosure>::Table::oop_oop_iterate_bounded<ObjArrayKlass, narrowOop>
    34000000    0.07%       34  Node::dominates
