--- Execution profile ---
Total samples       : 230007

          ns  percent  samples  top
   625532877    0.27%      623  net.minecraft.core.Holder$Reference.is
   620195867    0.26%      613  com.google.common.collect.RegularImmutableMap.get
   612437339    0.26%      607  net.minecraft.world.entity.ai.goal.GoalSelector.tick
   603411655    0.26%      601  net.minecraft.world.entity.ai.behavior.ShufflingList$$Lambda.0x00007f4755a36bb0.apply
   600678542    0.26%      582  ca.spottedleaf.moonrise.common.list.ReferenceList.getRawDataUnchecked
   591113816    0.25%      589  it.unimi.dsi.fastutil.HashCommon.mix
   583353542    0.25%      572  ca.spottedleaf.moonrise.patches.chunk_system.level.entity.EntityLookup.getEntities
   576670636    0.24%      573  net.minecraft.world.level.NaturalSpawner.spawnForChunk
   574718405    0.24%      566  it.unimi.dsi.fastutil.objects.ReferenceCollections$UnmodifiableCollection.contains
   562620318    0.24%      561  net.minecraft.world.level.BlockCollisions.computeNext
   554440256    0.24%      549  java.util.HashSet.iterator
   552537239    0.23%      547  net.minecraft.world.entity.Entity.setDeltaMovement
   546511869    0.23%      540  net.minecraft.world.phys.shapes.VoxelShape.max
   534252288    0.23%      526  net.minecraft.core.BlockPos.asLong
   532922720    0.23%      529  net.minecraft.world.level.chunk.ChunkAccess.getHeight
   519481506    0.22%      512  ca.spottedleaf.moonrise.patches.starlight.light.SWMRNibbleArray.getVisible
   518239324    0.22%      514  java.util.Arrays.fill
   514455839    0.22%      510  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, narrowOop>
   512429509    0.22%      506  net.minecraft.world.entity.LivingEntity.tickEffects
   505735691    0.21%      499  ca.spottedleaf.moonrise.patches.chunk_system.scheduling.ChunkHolderManager.getChunkHolder
   481875280    0.20%      479  net.minecraft.world.level.pathfinder.PathFinder.findPath
   477488707    0.20%      471  java.util.HashMap$HashIterator.<init>
   477150728    0.20%      472  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getPathTypeStatic
   461177561    0.20%      456  java.lang.invoke.VarHandleReferences$FieldInstanceReadOnly.getVolatile
   438687119    0.19%      436  net.minecraft.world.entity.Entity.getOnPos
   436321774    0.19%      429  net.minecraft.world.entity.ai.attributes.AttributeMap.getInstance
   430690930    0.18%      429  net.minecraft.world.level.chunk.LevelChunk.getBlockState
   427264033    0.18%      422  net.minecraft.world.entity.ai.attributes.AttributeMap.getValue
   420094292    0.18%      404  oopDesc::size_given_klass
   418966721    0.18%      411  net.minecraft.world.level.NaturalSpawner.createState
   417852819    0.18%      416  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.isDiagonalValid
   417755417    0.18%      389  java.lang.ThreadLocal$ThreadLocalMap.getEntry
   416754076    0.18%      404  ca.spottedleaf.moonrise.common.misc.NearbyPlayers$TrackedChunk.getPlayers
   416311501    0.18%      415  net.minecraft.world.entity.LivingEntity.getHealth
   407605025    0.17%      404  it.unimi.dsi.fastutil.longs.Long2ReferenceOpenHashMap.get
   406666940    0.17%      402  net.minecraft.world.level.biome.BiomeManager.getFiddledDistance
   402769846    0.17%      401  net.minecraft.core.SectionPos.blockToSectionCoord
   401782467    0.17%      401  net.minecraft.world.level.PathNavigationRegion.getChunk
   388174741    0.16%      386  net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getCollisionShape
   386487530    0.16%      381  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.insert
   386312387    0.16%      382  java.util.TreeMap.successor
   383296499    0.16%      379  net.minecraft.world.entity.ai.goal.GoalSelector.tickRunningGoals
   382083643    0.16%      372  G1CMTask::drain_global_stack
   372215275    0.16%      370  net.minecraft.util.Mth.sqrt
   371310970    0.16%      365  net.minecraft.world.level.entity.EntityTickList.forEach
   369881690    0.16%      366  net.minecraft.world.level.chunk.LevelChunkSection.getNoiseBiome
   362315709    0.15%      359  net.minecraft.world.entity.ai.behavior.Behavior.getStatus
   357743603    0.15%      355  net.minecraft.world.level.levelgen.BitRandomSource.nextInt
   357066352    0.15%      339  net.minecraft.world.entity.Entity.getBoundingBox
   356367960    0.15%      349  net.minecraft.world.level.pathfinder.PathType.getMalus
   347523310    0.15%      347  net.minecraft.world.entity.Entity.level
   341366422    0.15%      339  it.unimi.dsi.fastutil.objects.ObjectLinkedOpenHashSet.iterator
   341202290    0.14%      333  unsigned long BitMap::find_first_bit_impl<0ul, false>
   330395026    0.14%      321  ClassLoaderData::oops_do
   321187368    0.14%      317  net.minecraft.world.level.chunk.ChunkAccess.getSections
   317760895    0.13%      314  WallClock::signalHandler
   313233559    0.13%      311  net.minecraft.world.entity.Mob.getPathfindingMalus
   312869509    0.13%      310  net.minecraft.world.level.pathfinder.WalkNodeEvaluator.getCachedPathType
   311966834    0.13%      310  net.minecraft.core.SectionPos.sectionToBlockCoord
   311221692    0.13%      305  net.minecraft.world.entity.LivingEntity.getItemBySlot
   309725227    0.13%      309  net.minecraft.world.level.PathNavigationRegion.getBlockStateIfLoaded
   306080290    0.13%      300  GenericTaskQueue<G1TaskQueueEntry, (MEMFLAGS)5, 131072u>::pop_local
   305385904    0.13%      301  net.minecraft.core.Vec3i.getX
   302317885    0.13%      299  java.util.ArrayDeque.size
   301997884    0.13%      301  PhaseChaitin::Split
   301179378    0.13%      300  net.minecraft.world.entity.ai.behavior.GateBehavior.getStatus
   300877145    0.13%      296  it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.computeIfAbsent
   295282318    0.13%      294  it.unimi.dsi.fastutil.objects.Object2DoubleArrayMap.put
